Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	   0,184	0	       0	0	       1	
0,25	  0,0088	0,25	   167,3	0,25	     0,4	
0,5	 0,00241	0,5	   164,3	0,5	     0,1	
0,75	 0,00111	0,75	   34,77	0,75	       0	
1	 0,00356	1	   -15,8	1	     0,8	
1,25	 0,00587	1,25	   -23,1	1,25	     0,8	
1,5	  0,0166	1,5	  -27,73	1,5	     0,9	
1,75	   0,033	1,75	  -89,68	1,75	     0,9	
2	  0,0274	2	    -172	2	       1	
2,25	  0,0142	2,25	   176,1	2,25	       1	
2,5	  0,0108	2,5	   170,4	2,5	     0,9	
2,75	   0,011	2,75	   173,6	2,75	     0,9	
3	  0,0116	3	   159,8	3	       1	
3,25	  0,0124	3,25	   159,4	3,25	       1	
3,5	  0,0145	3,5	     151	3,5	       1	
3,75	  0,0173	3,75	     142	3,75	       1	
4	  0,0216	4	   139,1	4	       1	
4,25	   0,025	4,25	   110,6	4,25	       1	
4,5	  0,0284	4,5	   98,32	4,5	       1	
4,75	  0,0334	4,75	   53,57	4,75	       1	
5	  0,0105	5	   22,22	5	     0,9	
5,25	 0,00973	5,25	   23,42	5,25	       1	
5,5	 0,00635	5,5	   33,52	5,5	       1	
5,75	 0,00383	5,75	   64,35	5,75	     0,9	
6	 0,00588	6	   69,14	6	       1	
6,25	 0,00674	6,25	   77,71	6,25	       1	
6,5	 0,00787	6,5	   70,27	6,5	       1	
6,75	 0,00837	6,75	   66,47	6,75	       1	
7	 0,00878	7	   56,07	7	       1	
7,25	 0,00977	7,25	   49,72	7,25	       1	
7,5	 0,00979	7,5	   35,99	7,5	       1	
7,75	 0,00787	7,75	   24,02	7,75	       1	
8	 0,00462	8	   5,148	8	     0,9	
8,25	 0,00478	8,25	    74,4	8,25	     0,9	
8,5	 0,00736	8,5	   59,05	8,5	       1	
8,75	 0,00679	8,75	   51,51	8,75	       1	
9	 0,00829	9	   50,43	9	       1	
9,25	 0,00936	9,25	   34,68	9,25	       1	
9,5	 0,00749	9,5	   23,37	9,5	       1	
9,75	 0,00404	9,75	   27,33	9,75	     0,8	
10	 0,00622	10	    45,8	10	       1	
10,25	 0,00688	10,25	   51,01	10,25	       1	
10,5	 0,00848	10,5	   49,07	10,5	       1	
10,75	 0,00971	10,75	   47,71	10,75	       1	
11	  0,0118	11	   38,02	11	       1	
11,25	  0,0124	11,25	   30,74	11,25	       1	
11,5	  0,0139	11,5	   19,23	11,5	       1	
11,75	  0,0137	11,75	   10,92	11,75	       1	
12	  0,0129	12	  -2,002	12	       1	
12,25	  0,0127	12,25	  -15,24	12,25	       1	
12,5	  0,0118	12,5	 -0,5841	12,5	     0,9	
12,75	  0,0116	12,75	  -15,64	12,75	       1	
13	  0,0114	13	  -21,63	13	       1	
13,25	  0,0103	13,25	  -23,41	13,25	       1	
13,5	  0,0098	13,5	  -25,61	13,5	       1	
13,75	  0,0106	13,75	   -31,1	13,75	       1	
14	  0,0099	14	  -35,93	14	       1	
14,25	  0,0102	14,25	  -42,32	14,25	       1	
14,5	  0,0098	14,5	  -48,41	14,5	       1	
14,75	 0,00857	14,75	  -51,91	14,75	       1	
15	 0,00856	15	  -54,31	15	       1	
15,25	 0,00833	15,25	   -59,3	15,25	       1	
15,5	 0,00885	15,5	  -65,56	15,5	       1	
15,75	 0,00847	15,75	  -74,78	15,75	       1	
16	 0,00757	16	  -89,08	16	       1	
16,25	 0,00655	16,25	  -96,96	16,25	       1	
16,5	 0,00577	16,5	    -101	16,5	       1	
16,75	 0,00538	16,75	  -113,2	16,75	     0,9	
17	 0,00512	17	  -128,8	17	     0,9	
17,25	 0,00414	17,25	  -157,9	17,25	     0,9	
17,5	 0,00308	17,5	   159,4	17,5	     0,7	
17,75	 0,00261	17,75	   114,9	17,75	     0,7	
18	 0,00252	18	    81,1	18	     0,9	
18,25	 0,00323	18,25	   70,52	18,25	       1	
18,5	 0,00461	18,5	   53,16	18,5	     0,9	
18,75	  0,0059	18,75	   34,36	18,75	     0,9	
19	 0,00654	19	    18,6	19	       1	
19,25	 0,00627	19,25	    4,86	19,25	       1	
19,5	 0,00666	19,5	 0,04186	19,5	       1	
