Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	   0,274	0	       0	0	     0,1	
0,25	  0,0949	0,25	    -165	0,25	     0,1	
0,5	  0,0672	0,5	   133,4	0,5	     0,6	
0,75	 0,00142	0,75	   108,6	0,75	       0	
1	  0,0142	1	   75,27	1	     0,4	
1,25	 0,00645	1,25	   66,89	1,25	     0,3	
1,5	 0,00723	1,5	 -0,4976	1,5	     0,6	
1,75	  0,0201	1,75	  -39,86	1,75	     0,9	
2	  0,0462	2	  -50,25	2	       1	
2,25	     0,2	2,25	  -105,3	2,25	       1	
2,5	  0,0349	2,5	   151,4	2,5	       1	
2,75	  0,0142	2,75	  -134,8	2,75	       1	
3	  0,0461	3	  -118,7	3	       1	
3,25	  0,0382	3,25	     170	3,25	       1	
3,5	  0,0133	3,5	   178,7	3,5	       1	
3,75	  0,0047	3,75	  -123,4	3,75	     0,7	
4	  0,0183	4	  -57,39	4	       1	
4,25	  0,0305	4,25	  -82,27	4,25	       1	
4,5	  0,0494	4,5	  -61,58	4,5	       1	
4,75	  0,0772	4,75	  -107,9	4,75	       1	
5	  0,0642	5	  -101,8	5	       1	
5,25	  0,0773	5,25	  -116,8	5,25	       1	
5,5	  0,0911	5,5	  -130,5	5,5	       1	
5,75	  0,0661	5,75	  -144,5	5,75	       1	
6	   0,056	6	  -133,9	6	       1	
6,25	  0,0698	6,25	    -109	6,25	       1	
6,5	   0,132	6,5	  -116,8	6,5	       1	
6,75	   0,186	6,75	  -151,4	6,75	       1	
7	   0,141	7	   172,3	7	       1	
7,25	  0,0879	7,25	   159,9	7,25	       1	
7,5	  0,0699	7,5	   153,3	7,5	       1	
7,75	  0,0275	7,75	   157,8	7,75	     0,9	
8	   0,044	8	  -125,1	8	     0,8	
8,25	  0,0865	8,25	  -147,8	8,25	     0,9	
8,5	   0,078	8,5	  -155,2	8,5	       1	
8,75	  0,0783	8,75	  -171,2	8,75	       1	
9	  0,0358	9	  -176,3	9	     0,5	
9,25	  0,0922	9,25	  -153,1	9,25	     0,9	
9,5	   0,122	9,5	  -178,8	9,5	     0,9	
9,75	   0,116	9,75	   155,5	9,75	     0,9	
10	  0,0606	10	   132,6	10	     0,8	
10,25	  0,0327	10,25	   96,19	10,25	     0,8	
10,5	  0,0141	10,5	  -64,03	10,5	     0,5	
10,75	  0,0422	10,75	  -104,9	10,75	     0,7	
11	  0,0296	11	  -153,1	11	     0,2	
11,25	  0,0559	11,25	  -114,4	11,25	     0,8	
11,5	  0,0837	11,5	  -109,1	11,5	     0,9	
11,75	  0,0897	11,75	  -138,4	11,75	     0,9	
12	   0,102	12	  -152,6	12	       1	
12,25	  0,0936	12,25	  -145,5	12,25	       1	
12,5	   0,107	12,5	  -156,8	12,5	       1	
12,75	   0,113	12,75	  -163,5	12,75	       1	
13	   0,122	13	  -174,2	13	       1	
13,25	  0,0982	13,25	   168,4	13,25	       1	
13,5	  0,0819	13,5	   166,4	13,5	       1	
13,75	  0,0681	13,75	   169,5	13,75	       1	
14	  0,0675	14	   173,4	14	       1	
14,25	  0,0678	14,25	   173,3	14,25	       1	
