Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	   0,182	0	       0	0	       0	
0,25	  0,0839	0,25	  -65,67	0,25	     0,4	
0,5	  0,0326	0,5	  -120,3	0,5	     0,3	
0,75	   0,019	0,75	  -119,7	0,75	     0,3	
1	  0,0126	1	  -116,3	1	     0,3	
1,25	 0,00679	1,25	   -99,2	1,25	     0,2	
1,5	   0,105	1,5	  -102,1	1,5	     0,9	
1,75	  0,0209	1,75	  -139,9	1,75	     0,8	
2	  0,0161	2	  -139,3	2	     0,9	
2,25	  0,0128	2,25	  -136,6	2,25	     0,8	
2,5	  0,0177	2,5	  -165,2	2,5	       1	
2,75	  0,0175	2,75	  -158,7	2,75	     0,9	
3	  0,0185	3	  -170,6	3	       1	
3,25	  0,0202	3,25	   178,6	3,25	       1	
3,5	   0,024	3,5	   168,2	3,5	       1	
3,75	  0,0329	3,75	   147,2	3,75	       1	
4	  0,0517	4	   111,4	4	       1	
4,25	  0,0385	4,25	   42,16	4,25	       1	
4,5	  0,0217	4,5	   22,04	4,5	       1	
4,75	   0,012	4,75	   12,83	4,75	     0,9	
5	 0,00725	5	    33,9	5	     0,9	
5,25	 0,00872	5,25	      58	5,25	     0,9	
5,5	  0,0156	5,5	   44,77	5,5	       1	
5,75	  0,0129	5,75	   8,063	5,75	       1	
6	  0,0089	6	   6,964	6	     0,9	
6,25	 0,00708	6,25	   17,07	6,25	       1	
6,5	 0,00752	6,5	   17,43	6,5	       1	
6,75	 0,00632	6,75	   21,42	6,75	     0,9	
7	 0,00697	7	   36,45	7	     0,9	
7,25	 0,00942	7,25	   42,39	7,25	       1	
7,5	  0,0107	7,5	   32,62	7,5	       1	
7,75	  0,0118	7,75	   28,34	7,75	       1	
8	  0,0131	8	   16,97	8	       1	
8,25	  0,0126	8,25	   3,314	8,25	       1	
8,5	  0,0114	8,5	 -0,2826	8,5	       1	
8,75	  0,0112	8,75	  -1,277	8,75	       1	
9	  0,0114	9	  -3,416	9	       1	
9,25	  0,0105	9,25	  -4,666	9,25	       1	
9,5	  0,0112	9,5	  -8,685	9,5	       1	
9,75	  0,0108	9,75	  -9,762	9,75	       1	
10	  0,0111	10	  -7,443	10	       1	
10,25	  0,0107	10,25	  -6,099	10,25	       1	
10,5	  0,0132	10,5	  -7,534	10,5	       1	
10,75	  0,0149	10,75	  -14,39	10,75	       1	
11	   0,016	11	  -26,24	11	       1	
11,25	  0,0143	11,25	  -36,23	11,25	       1	
11,5	  0,0132	11,5	  -37,29	11,5	       1	
11,75	  0,0146	11,75	  -38,45	11,75	       1	
12	  0,0139	12	  -42,49	12	       1	
12,25	  0,0155	12,25	  -48,18	12,25	       1	
12,5	  0,0164	12,5	  -55,11	12,5	       1	
12,75	  0,0162	12,75	  -67,79	12,75	       1	
13	  0,0157	13	  -76,49	13	       1	
13,25	  0,0144	13,25	  -87,72	13,25	       1	
13,5	  0,0127	13,5	  -101,5	13,5	       1	
13,75	 0,00611	13,75	  -113,5	13,75	       1	
14	  0,0114	14	  -74,29	14	       1	
14,25	  0,0122	14,25	  -100,4	14,25	       1	
14,5	 0,00993	14,5	  -118,8	14,5	       1	
14,75	 0,00735	14,75	  -124,4	14,75	     0,9	
15	 0,00605	15	  -126,1	15	     0,9	
15,25	 0,00433	15,25	  -119,1	15,25	     0,8	
15,5	  0,0035	15,5	  -123,7	15,5	     0,8	
15,75	 0,00233	15,75	  -108,6	15,75	     0,6	
16	 0,00218	16	  -90,31	16	     0,6	
16,25	 0,00317	16,25	  -68,76	16,25	     0,8	
16,5	 0,00401	16,5	  -79,01	16,5	     0,9	
16,75	 0,00499	16,75	   -86,5	16,75	     0,9	
17	 0,00482	17	  -97,35	17	     0,9	
17,25	  0,0044	17,25	  -109,3	17,25	     0,9	
17,5	 0,00436	17,5	  -116,7	17,5	     0,9	
17,75	 0,00433	17,75	  -124,9	17,75	     0,9	
18	 0,00367	18	  -144,7	18	     0,9	
18,25	 0,00209	18,25	  -151,6	18,25	     0,8	
18,5	  0,0015	18,5	  -140,3	18,5	     0,7	
18,75	 0,00114	18,75	  -172,6	18,75	     0,6	
19	0,000906	19	  -160,1	19	     0,4	
19,25	0,000142	19,25	   98,44	19,25	       0	
19,5	0,000412	19,5	   9,918	19,5	     0,1	
19,75	  0,0011	19,75	   20,38	19,75	     0,4	
20	  0,0015	20	  -4,436	20	     0,6	
20,25	  0,0018	20,25	  -18,46	20,25	     0,6	
20,5	 0,00094	20,5	  -30,18	20,5	     0,2	
20,75	 0,00168	20,75	   41,36	20,75	     0,6	
21	 0,00354	21	   4,133	21	     0,7	
21,25	  0,0032	21,25	  -34,87	21,25	     0,7	
21,5	 0,00168	21,5	   27,17	21,5	     0,4	
21,75	 0,00313	21,75	   12,58	21,75	     0,7	
22	 0,00425	22	   3,606	22	     0,8	
22,25	 0,00526	22,25	  -8,239	22,25	     0,9	
22,5	 0,00619	22,5	  -14,05	22,5	     0,9	
22,75	  0,0063	22,75	  -26,78	22,75	     0,9	
23	 0,00697	23	  -36,14	23	     0,9	
23,25	 0,00705	23,25	  -44,03	23,25	     0,9	
23,5	 0,00709	23,5	  -48,94	23,5	     0,9	
23,75	 0,00694	23,75	  -55,45	23,75	     0,9	
24	 0,00696	24	  -59,68	24	     0,9	
24,25	 0,00733	24,25	  -70,55	24,25	     0,9	
24,5	 0,00726	24,5	  -77,13	24,5	     0,9	
24,75	  0,0069	24,75	  -86,83	24,75	     0,9	
25	 0,00618	25	  -93,53	25	     0,9	
25,25	 0,00575	25,25	    -103	25,25	     0,9	
25,5	 0,00507	25,5	  -107,8	25,5	     0,9	
25,75	 0,00418	25,75	  -106,5	25,75	     0,8	
26	 0,00398	26	  -105,9	26	     0,8	
26,25	 0,00361	26,25	  -108,5	26,25	     0,8	
26,5	 0,00339	26,5	  -107,8	26,5	     0,8	
26,75	 0,00348	26,75	  -114,6	26,75	     0,7	
27	 0,00316	27	  -119,8	27	     0,7	
27,25	 0,00283	27,25	  -123,4	27,25	     0,7	
27,5	 0,00279	27,5	  -135,7	27,5	     0,7	
27,75	 0,00239	27,75	  -158,7	27,75	     0,6	
28	  0,0023	28	   158,2	28	     0,6	
28,25	  0,0035	28,25	   75,46	28,25	     0,7	
28,5	 0,00505	28,5	   21,63	28,5	     0,9	
28,75	 0,00614	28,75	  -11,27	28,75	     0,9	
29	 0,00648	29	  -34,46	29	       1	
29,25	 0,00721	29,25	  -50,82	29,25	       1	
29,5	 0,00733	29,5	  -73,45	29,5	       1	
29,75	 0,00651	29,75	  -88,07	29,75	     0,9	
30	 0,00594	30	  -95,27	30	     0,9	
30,25	 0,00553	30,25	  -108,3	30,25	     0,9	
30,5	 0,00472	30,5	  -120,3	30,5	     0,8	
30,75	 0,00364	30,75	    -128	30,75	     0,7	
31	   0,003	31	  -127,6	31	     0,6	
31,25	 0,00187	31,25	  -144,6	31,25	     0,4	
31,5	0,000872	31,5	  -58,72	31,5	     0,1	
31,75	 0,00212	31,75	  -34,63	31,75	     0,4	
32	 0,00395	32	   -44,8	32	     0,8	
32,25	   0,005	32,25	   -59,5	32,25	     0,9	
32,5	 0,00544	32,5	  -71,32	32,5	     0,9	
32,75	 0,00651	32,75	  -79,94	32,75	     0,9	
33	 0,00741	33	  -86,19	33	       1	
33,25	 0,00806	33,25	  -98,77	33,25	     0,9	
33,5	  0,0086	33,5	  -111,7	33,5	     0,9	
33,75	 0,00888	33,75	  -119,1	33,75	     0,9	
34	 0,00899	34	  -129,3	34	     0,9	
34,25	 0,00918	34,25	  -137,9	34,25	     0,9	
34,5	 0,00894	34,5	  -147,2	34,5	     0,9	
34,75	 0,00872	34,75	  -156,3	34,75	     0,9	
35	 0,00868	35	  -162,8	35	     0,9	
35,25	 0,00861	35,25	  -171,4	35,25	     0,9	
35,5	 0,00825	35,5	   179,8	35,5	     0,9	
35,75	 0,00865	35,75	   174,5	35,75	     0,9	
36	 0,00904	36	   167,5	36	     0,9	
36,25	 0,00952	36,25	   156,5	36,25	     0,9	
36,5	 0,00877	36,5	   146,8	36,5	     0,9	
36,75	 0,00878	36,75	   143,9	36,75	     0,8	
37	 0,00865	37	   135,9	37	     0,9	
37,25	 0,00904	37,25	   130,5	37,25	     0,8	
37,5	  0,0091	37,5	   120,9	37,5	     0,8	
37,75	 0,00858	37,75	     116	37,75	     0,8	
38	 0,00911	38	   111,5	38	     0,9	
38,25	 0,00957	38,25	   108,1	38,25	     0,9	
38,5	  0,0105	38,5	   98,05	38,5	     0,9	
38,75	  0,0107	38,75	   92,98	38,75	     0,9	
39	  0,0109	39	   87,51	39	     0,9	
39,25	  0,0113	39,25	   80,58	39,25	     0,9	
39,5	   0,012	39,5	   74,33	39,5	     0,9	
39,75	  0,0128	39,75	   66,94	39,75	     0,9	
40	  0,0131	40	   59,72	40	     0,9	
