Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	  0,0728	0	       0	0	     0,2	
0,25	   0,027	0,25	  -148,4	0,25	     0,1	
0,5	  0,0105	0,5	  -95,88	0,5	     0,1	
0,75	 0,00969	0,75	  -122,5	0,75	     0,3	
1	 0,00566	1	  -123,4	1	     0,2	
1,25	 0,00146	1,25	  -160,6	1,25	       0	
1,5	  0,0475	1,5	  -108,1	1,5	     0,7	
1,75	  0,0168	1,75	  -149,6	1,75	     0,8	
2	  0,0129	2	  -158,6	2	     0,7	
2,25	  0,0117	2,25	  -168,1	2,25	     0,8	
2,5	  0,0131	2,5	  -175,6	2,5	     0,9	
2,75	  0,0145	2,75	   175,7	2,75	     0,9	
3	  0,0161	3	   160,4	3	       1	
3,25	  0,0179	3,25	   152,6	3,25	       1	
3,5	  0,0225	3,5	     138	3,5	       1	
3,75	  0,0191	3,75	     138	3,75	       1	
4	  0,0245	4	   124,5	4	       1	
4,25	  0,0293	4,25	   112,5	4,25	       1	
4,5	  0,0371	4,5	   89,12	4,5	       1	
4,75	  0,0275	4,75	   49,53	4,75	     0,9	
5	  0,0174	5	   69,84	5	     0,9	
5,25	  0,0272	5,25	   61,75	5,25	       1	
5,5	  0,0288	5,5	   58,08	5,5	       1	
5,75	  0,0235	5,75	   47,75	5,75	       1	
6	   0,031	6	   44,69	6	       1	
6,25	  0,0303	6,25	   38,08	6,25	       1	
6,5	  0,0321	6,5	   34,43	6,5	       1	
6,75	  0,0403	6,75	   29,21	6,75	     0,9	
7	  0,0549	7	    15,6	7	     0,9	
7,25	  0,0637	7,25	  -17,04	7,25	     0,9	
7,5	   0,052	7,5	  -46,89	7,5	     0,9	
7,75	  0,0351	7,75	   -66,9	7,75	       1	
8	  0,0237	8	  -65,98	8	       1	
8,25	  0,0215	8,25	   -66,9	8,25	       1	
8,5	  0,0183	8,5	  -62,06	8,5	     0,9	
8,75	  0,0183	8,75	  -60,34	8,75	     0,9	
9	  0,0194	9	  -64,66	9	     0,8	
9,25	  0,0199	9,25	  -67,52	9,25	     0,7	
9,5	  0,0211	9,5	  -77,19	9,5	     0,8	
9,75	  0,0199	9,75	  -93,67	9,75	     0,7	
10	  0,0179	10	  -103,6	10	     0,7	
10,25	  0,0152	10,25	  -115,9	10,25	     0,7	
10,5	  0,0106	10,5	  -131,8	10,5	     0,6	
10,75	  0,0066	10,75	  -118,4	10,75	     0,4	
11	  0,0065	11	  -106,2	11	     0,5	
11,25	 0,00694	11,25	  -91,23	11,25	     0,5	
11,5	  0,0083	11,5	  -87,99	11,5	     0,5	
11,75	  0,0104	11,75	  -94,96	11,75	     0,7	
12	  0,0106	12	  -108,2	12	     0,7	
12,25	  0,0108	12,25	  -122,7	12,25	     0,7	
12,5	 0,00929	12,5	  -136,2	12,5	     0,7	
12,75	 0,00799	12,75	  -144,7	12,75	     0,6	
13	 0,00641	13	  -147,8	13	     0,6	
13,25	 0,00382	13,25	  -144,6	13,25	     0,4	
13,5	 0,00467	13,5	  -120,5	13,5	     0,5	
13,75	  0,0064	13,75	    -124	13,75	     0,6	
14	 0,00707	14	  -132,3	14	     0,6	
14,25	 0,00871	14,25	  -141,5	14,25	     0,6	
14,5	 0,00961	14,5	  -156,5	14,5	     0,7	
