Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
28	  0,0109	28	  -42,12	28	     0,6	
28,25	 0,00698	28,25	  -34,24	28,25	     0,3	
28,5	 0,00475	28,5	  -26,51	28,5	     0,2	
28,75	  0,0106	28,75	  -80,19	28,75	     0,7	
29	 0,00866	29	  -77,38	29	     0,5	
29,25	 0,00825	29,25	  -96,46	29,25	     0,6	
29,5	 0,00559	29,5	   156,2	29,5	     0,3	
29,75	 0,00305	29,75	  -164,9	29,75	     0,2	
30	 0,00636	30	  -111,9	30	     0,3	
30,25	 0,00286	30,25	  -62,23	30,25	     0,1	
30,5	 0,00526	30,5	   150,5	30,5	     0,3	
30,75	 0,00389	30,75	   147,1	30,75	     0,1	
31	 0,00482	31	  -56,16	31	     0,4	
31,25	 0,00437	31,25	  -39,37	31,25	     0,2	
31,5	 0,00243	31,5	  -164,5	31,5	     0,2	
31,75	 0,00263	31,75	   143,1	31,75	       0	
32	  0,0029	32	   14,77	32	     0,2	
32,25	 0,00549	32,25	  -31,21	32,25	     0,5	
32,5	 0,00378	32,5	  -100,9	32,5	     0,3	
32,75	 0,00568	32,75	  -152,5	32,75	     0,2	
33	 0,00212	33	  -134,7	33	     0,1	
33,25	 0,00256	33,25	  -29,52	33,25	     0,1	
33,5	  0,0022	33,5	  -93,74	33,5	     0,1	
33,75	 0,00927	33,75	  -134,4	33,75	     0,6	
34	 0,00701	34	  -159,2	34	     0,5	
34,25	 0,00449	34,25	   144,4	34,25	     0,3	
34,5	 0,00289	34,5	   124,9	34,5	     0,1	
34,75	  0,0038	34,75	    -112	34,75	     0,4	
35	 0,00591	35	   155,7	35	     0,3	
35,25	 0,00742	35,25	   111,8	35,25	     0,4	
35,5	 0,00437	35,5	   70,94	35,5	     0,2	
35,75	 0,00501	35,75	  -35,23	35,75	     0,5	
36	  0,0045	36	  -121,2	36	     0,1	
36,25	 0,00737	36,25	   127,9	36,25	     0,2	
36,5	  0,0054	36,5	   68,08	36,5	     0,2	
36,75	 0,00637	36,75	  -1,675	36,75	     0,3	
