Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	   0,158	0	       0	0	     0,1	
0,25	  0,0418	0,25	   162,9	0,25	     0,2	
0,5	  0,0215	0,5	    -161	0,5	     0,6	
0,75	 0,00522	0,75	  -176,9	0,75	     0,2	
1	 0,00572	1	   135,9	1	     0,4	
1,25	 0,00648	1,25	    29,9	1,25	     0,4	
1,5	   0,115	1,5	  -83,93	1,5	     0,8	
1,75	  0,0152	1,75	  -159,4	1,75	     0,9	
2	  0,0113	2	  -158,8	2	     0,9	
2,25	   0,011	2,25	  -164,2	2,25	       1	
2,5	 0,00899	2,5	  -165,1	2,5	       1	
2,75	 0,00886	2,75	  -161,4	2,75	       1	
3	 0,00921	3	  -157,1	3	       1	
3,25	 0,00927	3,25	    -155	3,25	       1	
3,5	  0,0104	3,5	  -153,8	3,5	       1	
3,75	  0,0121	3,75	  -151,5	3,75	       1	
4	  0,0148	4	  -155,6	4	       1	
4,25	  0,0177	4,25	  -173,1	4,25	       1	
4,5	  0,0161	4,5	     179	4,5	       1	
4,75	  0,0152	4,75	   173,3	4,75	       1	
5	   0,014	5	   167,5	5	       1	
5,25	  0,0129	5,25	   173,8	5,25	     0,9	
5,5	  0,0159	5,5	   171,4	5,5	       1	
5,75	  0,0163	5,75	   157,1	5,75	       1	
6	  0,0122	6	   166,5	6	       1	
6,25	   0,014	6,25	   167,2	6,25	     0,9	
6,5	  0,0145	6,5	   168,5	6,5	     0,9	
6,75	  0,0153	6,75	   173,2	6,75	     0,9	
7	    0,02	7	   175,5	7	     0,9	
7,25	  0,0269	7,25	   169,3	7,25	     0,9	
7,5	  0,0341	7,5	   155,9	7,5	     0,9	
7,75	  0,0391	7,75	     135	7,75	     0,9	
8	  0,0372	8	   115,1	8	       1	
8,25	  0,0326	8,25	     102	8,25	       1	
8,5	  0,0279	8,5	   94,03	8,5	       1	
8,75	   0,027	8,75	   95,15	8,75	       1	
9	  0,0287	9	   87,75	9	     0,9	
9,25	   0,029	9,25	   79,86	9,25	     0,9	
9,5	  0,0301	9,5	   72,13	9,5	     0,9	
9,75	  0,0302	9,75	   59,69	9,75	     0,9	
10	  0,0276	10	   51,38	10	     0,9	
10,25	  0,0282	10,25	    47,2	10,25	       1	
10,5	  0,0285	10,5	   38,15	10,5	       1	
10,75	  0,0274	10,75	   32,28	10,75	       1	
11	  0,0292	11	   27,88	11	       1	
11,25	  0,0315	11,25	   20,39	11,25	       1	
11,5	  0,0344	11,5	   13,41	11,5	     0,9	
11,75	  0,0389	11,75	   1,091	11,75	     0,9	
12	   0,041	12	  -14,24	12	       1	
12,25	   0,041	12,25	  -28,21	12,25	       1	
12,5	    0,04	12,5	  -42,35	12,5	       1	
12,75	  0,0374	12,75	  -62,84	12,75	       1	
13	   0,021	13	  -55,43	13	     0,8	
13,25	   0,026	13,25	  -51,24	13,25	     0,9	
13,5	  0,0268	13,5	   -49,9	13,5	     0,9	
13,75	  0,0313	13,75	  -47,63	13,75	     0,9	
14	  0,0382	14	  -53,25	14	     0,9	
14,25	  0,0447	14,25	  -61,94	14,25	     0,9	
14,5	  0,0499	14,5	  -72,87	14,5	     0,9	
14,75	  0,0527	14,75	  -83,66	14,75	     0,9	
15	  0,0545	15	  -93,43	15	     0,9	
15,25	  0,0551	15,25	  -102,3	15,25	     0,9	
15,5	  0,0547	15,5	  -109,5	15,5	     0,9	
