Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	   0,171	0	     180	0	     0,5	
0,25	  0,0194	0,25	  -25,46	0,25	     0,1	
0,5	  0,0102	0,5	   82,37	0,5	     0,1	
0,75	 0,00104	0,75	   71,79	0,75	       0	
1	 0,00269	1	  -104,8	1	     0,1	
1,25	 0,00743	1,25	  -145,1	1,25	     0,4	
1,5	  0,0506	1,5	   80,03	1,5	     0,5	
1,75	  0,0106	1,75	   51,16	1,75	     0,5	
2	 0,00607	2	   53,66	2	     0,5	
2,25	 0,00532	2,25	   57,62	2,25	     0,5	
2,5	 0,00464	2,5	   79,63	2,5	     0,4	
2,75	 0,00487	2,75	   73,13	2,75	     0,5	
3	 0,00519	3	   87,11	3	     0,5	
3,25	 0,00764	3,25	   71,59	3,25	     0,8	
3,5	 0,00827	3,5	   62,22	3,5	     0,8	
3,75	  0,0104	3,75	   64,23	3,75	     0,9	
4	  0,0117	4	   55,56	4	     0,9	
4,25	  0,0144	4,25	   40,35	4,25	     0,9	
4,5	  0,0198	4,5	   18,15	4,5	     0,9	
4,75	  0,0175	4,75	  -4,173	4,75	     0,9	
5	  0,0169	5	  -25,15	5	     0,9	
5,25	  0,0152	5,25	  -30,41	5,25	     0,9	
5,5	  0,0134	5,5	  -46,61	5,5	       1	
5,75	  0,0122	5,75	  -62,69	5,75	     0,9	
6	  0,0103	6	  -66,91	6	     0,9	
6,25	 0,00896	6,25	  -76,25	6,25	     0,9	
6,5	  0,0064	6,5	   -76,7	6,5	     0,9	
6,75	 0,00639	6,75	  -66,42	6,75	     0,9	
7	 0,00695	7	  -70,93	7	       1	
7,25	  0,0051	7,25	  -71,88	7,25	     0,9	
7,5	 0,00693	7,5	  -61,95	7,5	     0,8	
7,75	 0,00652	7,75	  -69,18	7,75	     0,9	
8	 0,00703	8	  -60,06	8	       1	
8,25	 0,00862	8,25	  -66,57	8,25	       1	
8,5	 0,00883	8,5	  -71,98	8,5	       1	
8,75	  0,0103	8,75	  -83,65	8,75	       1	
9	  0,0114	9	  -93,46	9	     0,9	
9,25	  0,0115	9,25	  -105,7	9,25	     0,9	
9,5	  0,0114	9,5	  -115,5	9,5	     0,9	
9,75	    0,01	9,75	  -130,2	9,75	     0,9	
10	 0,00774	10	  -135,2	10	     0,9	
10,25	 0,00626	10,25	  -140,5	10,25	     0,9	
10,5	 0,00611	10,5	    -130	10,5	     0,9	
10,75	 0,00583	10,75	  -130,5	10,75	     0,8	
11	 0,00549	11	  -121,9	11	     0,8	
11,25	  0,0063	11,25	  -117,5	11,25	     0,8	
11,5	 0,00729	11,5	  -116,5	11,5	     0,8	
11,75	 0,00827	11,75	  -116,2	11,75	     0,8	
12	  0,0105	12	    -120	12	     0,9	
12,25	  0,0126	12,25	    -140	12,25	     0,9	
12,5	  0,0122	12,5	  -156,4	12,5	     0,8	
12,75	  0,0102	12,75	  -167,4	12,75	     0,8	
13	 0,00838	13	  -168,6	13	     0,8	
13,25	 0,00762	13,25	  -163,9	13,25	     0,7	
13,5	 0,00789	13,5	  -156,9	13,5	     0,8	
13,75	 0,00876	13,75	  -164,2	13,75	     0,9	
14	 0,00902	14	  -163,1	14	     0,9	
14,25	 0,00964	14,25	  -167,4	14,25	     0,9	
14,5	 0,00981	14,5	  -175,9	14,5	     0,9	
14,75	  0,0109	14,75	     179	14,75	     0,9	
15	  0,0107	15	   171,2	15	       1	
15,25	  0,0104	15,25	   166,5	15,25	     0,9	
15,5	 0,00999	15,5	   156,6	15,5	       1	
15,75	 0,00977	15,75	   158,4	15,75	       1	
16	 0,00979	16	   151,6	16	       1	
16,25	  0,0102	16,25	   148,8	16,25	       1	
16,5	  0,0108	16,5	   142,3	16,5	       1	
