Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	   0,233	0	       0	0	     0,8	
0,25	  0,0471	0,25	   130,4	0,25	     0,6	
0,5	  0,0283	0,5	   148,4	0,5	     0,1	
0,75	0,000596	0,75	   168,7	0,75	       0	
1	 0,00201	1	  -111,2	1	     0,1	
1,25	 0,00521	1,25	  -81,79	1,25	     0,7	
1,5	  0,0111	1,5	  -79,59	1,5	     0,9	
1,75	  0,0314	1,75	    -102	1,75	       1	
2	  0,0108	2	   136,3	2	     0,9	
2,25	 0,00346	2,25	   160,5	2,25	     0,9	
2,5	  0,0026	2,5	  -139,7	2,5	     0,9	
2,75	 0,00358	2,75	  -91,27	2,75	     0,9	
3	 0,00667	3	  -78,86	3	       1	
3,25	   0,012	3,25	   -80,3	3,25	       1	
3,5	  0,0205	3,5	  -102,5	3,5	       1	
3,75	  0,0269	3,75	  -140,1	3,75	       1	
4	  0,0153	4	  -174,5	4	       1	
4,25	  0,0102	4,25	  -168,2	4,25	       1	
4,5	 0,00913	4,5	  -149,6	4,5	       1	
4,75	  0,0117	4,75	  -152,6	4,75	       1	
5	 0,00966	5	  -147,1	5	       1	
5,25	  0,0131	5,25	  -140,4	5,25	       1	
5,5	  0,0136	5,5	  -148,3	5,5	       1	
5,75	  0,0152	5,75	    -152	5,75	       1	
6	  0,0159	6	  -157,1	6	       1	
6,25	  0,0161	6,25	  -163,6	6,25	       1	
6,5	  0,0166	6,5	  -169,5	6,5	       1	
6,75	  0,0159	6,75	    -175	6,75	       1	
7	  0,0152	7	  -177,2	7	       1	
7,25	  0,0147	7,25	  -179,6	7,25	       1	
7,5	  0,0148	7,5	  -177,9	7,5	       1	
7,75	  0,0158	7,75	  -179,7	7,75	       1	
8	  0,0171	8	   176,4	8	       1	
8,25	  0,0175	8,25	   169,4	8,25	       1	
8,5	  0,0181	8,5	   161,6	8,5	       1	
8,75	  0,0176	8,75	   154,5	8,75	       1	
9	  0,0166	9	     148	9	       1	
9,25	  0,0157	9,25	   144,1	9,25	       1	
9,5	  0,0161	9,5	   140,9	9,5	     0,9	
9,75	  0,0165	9,75	   131,8	9,75	     0,9	
10	   0,015	10	   123,5	10	     0,9	
10,25	  0,0142	10,25	   120,3	10,25	     0,9	
10,5	   0,015	10,5	   119,5	10,5	     0,8	
10,75	  0,0174	10,75	   111,5	10,75	     0,9	
11	  0,0194	11	   95,96	11	     0,9	
11,25	  0,0197	11,25	   79,35	11,25	     0,9	
11,5	  0,0198	11,5	    64,1	11,5	     0,9	
11,75	  0,0196	11,75	   49,02	11,75	     0,9	
12	  0,0185	12	   34,08	12	     0,9	
12,25	  0,0173	12,25	   21,67	12,25	     0,9	
12,5	  0,0161	12,5	   14,94	12,5	     0,8	
12,75	  0,0161	12,75	   11,05	12,75	     0,8	
13	   0,018	13	   6,667	13	     0,8	
13,25	  0,0202	13,25	 -0,7044	13,25	     0,8	
13,5	  0,0227	13,5	  -10,11	13,5	     0,9	
13,75	  0,0246	13,75	  -20,49	13,75	     0,9	
14	  0,0265	14	  -29,63	14	     0,9	
14,25	  0,0277	14,25	  -40,15	14,25	     0,9	
14,5	  0,0277	14,5	  -49,97	14,5	     0,9	
14,75	  0,0265	14,75	  -55,77	14,75	     0,9	
15	  0,0264	15	  -56,67	15	     0,9	
15,25	  0,0287	15,25	  -57,69	15,25	     0,8	
15,5	  0,0322	15,5	  -62,33	15,5	     0,9	
15,75	  0,0354	15,75	  -70,01	15,75	     0,9	
16	  0,0366	16	  -78,47	16	     0,9	
16,25	  0,0362	16,25	  -84,67	16,25	     0,9	
16,5	  0,0362	16,5	   -89,3	16,5	     0,9	
16,75	  0,0362	16,75	  -92,16	16,75	     0,9	
17	  0,0376	17	  -94,52	17	     0,9	
17,25	  0,0395	17,25	  -98,73	17,25	     0,9	
17,5	  0,0405	17,5	  -103,4	17,5	     0,9	
17,75	  0,0416	17,75	    -108	17,75	       1	
18	  0,0422	18	  -112,5	18	       1	
18,25	  0,0425	18,25	  -116,9	18,25	       1	
18,5	  0,0431	18,5	  -121,5	18,5	       1	
18,75	  0,0429	18,75	  -126,1	18,75	       1	
19	  0,0424	19	  -129,1	19	       1	
19,25	  0,0431	19,25	  -132,1	19,25	       1	
19,5	  0,0442	19,5	  -137,1	19,5	       1	
19,75	  0,0438	19,75	  -143,5	19,75	       1	
20	  0,0422	20	  -149,4	20	       1	
20,25	  0,0404	20,25	  -154,2	20,25	       1	
20,5	  0,0381	20,5	  -159,1	20,5	       1	
20,75	  0,0351	20,75	  -163,5	20,75	       1	
21	  0,0312	21	  -167,4	21	       1	
21,25	  0,0268	21,25	  -168,7	21,25	       1	
21,5	  0,0223	21,5	  -164,9	21,5	       1	
21,75	  0,0204	21,75	  -154,3	21,75	     0,9	
22	  0,0214	22	  -144,7	22	     0,9	
22,25	  0,0235	22,25	  -140,1	22,25	       1	
22,5	  0,0263	22,5	  -138,3	22,5	       1	
22,75	  0,0285	22,75	  -139,2	22,75	       1	
23	  0,0305	23	  -141,5	23	       1	
23,25	  0,0319	23,25	    -144	23,25	       1	
23,5	  0,0328	23,5	  -146,6	23,5	       1	
23,75	  0,0335	23,75	  -149,1	23,75	       1	
24	  0,0338	24	  -151,5	24	       1	
24,25	  0,0342	24,25	  -153,4	24,25	       1	
24,5	  0,0347	24,5	  -155,7	24,5	       1	
24,75	   0,035	24,75	  -158,3	24,75	       1	
25	  0,0349	25	  -161,4	25	       1	
25,25	  0,0346	25,25	    -164	25,25	       1	
25,5	  0,0338	25,5	  -166,9	25,5	       1	
25,75	  0,0326	25,75	  -167,3	25,75	       1	
26	  0,0322	26	  -169,4	26	       1	
26,25	  0,0311	26,25	  -171,1	26,25	       1	
26,5	    0,03	26,5	  -172,4	26,5	       1	
26,75	  0,0289	26,75	  -172,9	26,75	     0,9	
27	  0,0275	27	  -172,6	27	     0,9	
27,25	  0,0264	27,25	    -171	27,25	     0,9	
27,5	  0,0262	27,5	  -168,6	27,5	     0,9	
27,75	  0,0265	27,75	  -167,2	27,75	     0,9	
28	  0,0272	28	  -166,9	28	     0,9	
28,25	  0,0278	28,25	  -167,6	28,25	     0,9	
28,5	  0,0277	28,5	  -169,2	28,5	     0,9	
28,75	  0,0271	28,75	  -171,4	28,75	     0,9	
29	  0,0256	29	  -172,6	29	     0,9	
29,25	  0,0233	29,25	  -171,8	29,25	     0,9	
29,5	  0,0213	29,5	  -166,3	29,5	     0,9	
29,75	   0,021	29,75	  -156,7	29,75	     0,9	
30	  0,0234	30	  -148,7	30	     0,9	
30,25	  0,0268	30,25	    -146	30,25	       1	
30,5	  0,0302	30,5	  -146,3	30,5	       1	
30,75	   0,033	30,75	  -147,9	30,75	       1	
31	  0,0352	31	  -149,6	31	       1	
31,25	  0,0375	31,25	  -151,1	31,25	       1	
31,5	  0,0402	31,5	  -153,2	31,5	       1	
31,75	  0,0429	31,75	  -156,4	31,75	       1	
32	   0,045	32	  -160,6	32	       1	
32,25	   0,046	32,25	  -164,9	32,25	       1	
32,5	   0,046	32,5	  -168,5	32,5	       1	
32,75	  0,0453	32,75	  -171,5	32,75	       1	
33	  0,0449	33	  -173,3	33	       1	
33,25	  0,0447	33,25	    -174	33,25	       1	
33,5	  0,0452	33,5	    -175	33,5	       1	
33,75	  0,0462	33,75	  -176,2	33,75	       1	
34	  0,0468	34	  -177,8	34	       1	
34,25	  0,0476	34,25	  -179,5	34,25	       1	
34,5	  0,0486	34,5	   178,8	34,5	       1	
34,75	  0,0495	34,75	   176,6	34,75	       1	
35	  0,0502	35	   174,3	35	       1	
35,25	  0,0505	35,25	   172,1	35,25	       1	
35,5	   0,051	35,5	   170,1	35,5	       1	
35,75	  0,0517	35,75	   167,6	35,75	       1	
36	  0,0521	36	     165	36	       1	
36,25	  0,0521	36,25	   162,5	36,25	       1	
36,5	  0,0523	36,5	   160,4	36,5	       1	
36,75	  0,0527	36,75	   157,7	36,75	       1	
37	  0,0528	37	     155	37	       1	
37,25	  0,0527	37,25	     152	37,25	       1	
37,5	  0,0524	37,5	     149	37,5	       1	
37,75	  0,0516	37,75	     146	37,75	       1	
38	  0,0507	38	   143,4	38	       1	
38,25	  0,0497	38,25	   140,9	38,25	       1	
38,5	  0,0491	38,5	   138,5	38,5	       1	
38,75	  0,0481	38,75	   136,1	38,75	       1	
39	  0,0472	39	   133,5	39	       1	
39,25	  0,0462	39,25	   130,7	39,25	       1	
39,5	  0,0449	39,5	   127,9	39,5	       1	
39,75	  0,0432	39,75	   125,3	39,75	       1	
40	  0,0415	40	   123,2	40	       1	
40,25	    0,04	40,25	   121,2	40,25	       1	
40,5	  0,0385	40,5	   119,6	40,5	       1	
40,75	  0,0374	40,75	   117,7	40,75	       1	
41	  0,0361	41	   115,4	41	       1	
41,25	  0,0345	41,25	   113,5	41,25	       1	
41,5	   0,033	41,5	   111,3	41,5	       1	
41,75	  0,0314	41,75	   109,5	41,75	       1	
42	  0,0296	42	   107,6	42	       1	
42,25	   0,028	42,25	   105,9	42,25	       1	
42,5	   0,026	42,5	   104,4	42,5	       1	
42,75	   0,024	42,75	   103,4	42,75	       1	
43	  0,0219	43	   103,4	43	       1	
43,25	    0,02	43,25	   104,2	43,25	       1	
43,5	  0,0181	43,5	   107,1	43,5	       1	
43,75	   0,017	43,75	   110,9	43,75	     0,9	
44	  0,0163	44	   115,5	44	     0,9	
44,25	  0,0162	44,25	   119,6	44,25	     0,9	
44,5	  0,0166	44,5	   122,5	44,5	     0,9	
44,75	   0,017	44,75	   124,5	44,75	     0,9	
45	  0,0172	45	   124,2	45	     0,9	
45,25	  0,0174	45,25	   123,4	45,25	     0,9	
45,5	  0,0173	45,5	   122,7	45,5	       1	
45,75	   0,017	45,75	   120,9	45,75	       1	
46	  0,0164	46	   118,6	46	       1	
46,25	  0,0153	46,25	   116,5	46,25	       1	
46,5	  0,0138	46,5	   115,7	46,5	     0,9	
46,75	  0,0122	46,75	   117,3	46,75	     0,9	
47	  0,0107	47	   122,1	47	     0,8	
47,25	 0,00967	47,25	     130	47,25	     0,8	
47,5	  0,0093	47,5	   140,5	47,5	     0,7	
47,75	  0,0097	47,75	   150,7	47,75	     0,7	
48	  0,0107	48	     159	48	     0,8	
48,25	  0,0121	48,25	   163,8	48,25	     0,8	
48,5	  0,0136	48,5	   166,3	48,5	     0,8	
48,75	  0,0151	48,75	   166,6	48,75	     0,8	
49	  0,0166	49	   166,4	49	     0,8	
49,25	   0,018	49,25	     165	49,25	     0,9	
49,5	  0,0192	49,5	   163,4	49,5	     0,9	
49,75	  0,0204	49,75	   161,3	49,75	     0,9	
50	  0,0213	50	   158,2	50	     0,9	
50,25	   0,022	50,25	   155,8	50,25	     0,9	
50,5	  0,0224	50,5	   153,3	50,5	     0,9	
50,75	  0,0227	50,75	     151	50,75	     0,9	
51	  0,0232	51	     149	51	     0,9	
51,25	  0,0236	51,25	   146,8	51,25	     0,9	
51,5	   0,024	51,5	   143,8	51,5	     0,9	
51,75	   0,024	51,75	   140,9	51,75	     0,9	
52	  0,0236	52	   137,4	52	     0,9	
52,25	  0,0226	52,25	   134,6	52,25	     0,9	
52,5	  0,0212	52,5	   133,2	52,5	     0,9	
52,75	    0,02	52,75	   135,2	52,75	     0,9	
53	    0,02	53	   139,8	53	     0,9	
53,25	  0,0219	53,25	     142	53,25	     0,9	
53,5	  0,0242	53,5	   137,6	53,5	     0,9	
53,75	  0,0244	53,75	   131,6	53,75	       1	
54	  0,0236	54	   127,5	54	       1	
54,25	  0,0227	54,25	   124,3	54,25	       1	
54,5	  0,0218	54,5	   121,8	54,5	       1	
54,75	  0,0211	54,75	   119,8	54,75	       1	
55	  0,0201	55	   118,1	55	       1	
55,25	  0,0193	55,25	   117,5	55,25	       1	
55,5	  0,0186	55,5	     117	55,5	       1	
55,75	  0,0183	55,75	     116	55,75	       1	
56	  0,0178	56	   114,2	56	       1	
56,25	  0,0171	56,25	   112,4	56,25	       1	
56,5	  0,0164	56,5	   110,7	56,5	       1	
56,75	  0,0157	56,75	     109	56,75	       1	
57	  0,0148	57	   107,5	57	     0,9	
57,25	  0,0139	57,25	   106,1	57,25	     0,9	
57,5	  0,0129	57,5	   104,3	57,5	     0,9	
57,75	  0,0118	57,75	   102,7	57,75	     0,9	
58	  0,0107	58	     101	58	     0,8	
58,25	 0,00938	58,25	   101,8	58,25	     0,8	
58,5	 0,00817	58,5	   103,5	58,5	     0,7	
58,75	 0,00689	58,75	   107,9	58,75	     0,7	
59	 0,00588	59	   113,6	59	     0,6	
59,25	 0,00502	59,25	   125,5	59,25	     0,5	
59,5	 0,00474	59,5	   140,9	59,5	     0,5	
59,75	 0,00522	59,75	     156	59,75	     0,5	
60	 0,00618	60	   165,9	60	     0,6	
60,25	 0,00714	60,25	   169,2	60,25	     0,7	
60,5	   0,008	60,5	   169,9	60,5	     0,7	
60,75	  0,0087	60,75	   171,1	60,75	     0,7	
61	  0,0093	61	   170,8	61	     0,7	
61,25	 0,00982	61,25	   171,1	61,25	     0,8	
61,5	  0,0105	61,5	   172,1	61,5	     0,8	
61,75	  0,0109	61,75	   170,3	61,75	     0,8	
62	   0,011	62	   169,6	62	     0,8	
62,25	  0,0111	62,25	   169,5	62,25	     0,8	
62,5	  0,0113	62,5	   170,6	62,5	     0,8	
