Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	  0,0266	0	     180	0	     0,1	
0,25	  0,0675	0,25	   149,1	0,25	     0,4	
0,5	  0,0108	0,5	   66,43	0,5	     0,2	
0,75	  0,0182	0,75	   124,3	0,75	     0,6	
1	  0,0147	1	   111,5	1	     0,7	
1,25	   0,017	1,25	   94,79	1,25	     0,8	
1,5	   0,107	1,5	  -72,02	1,5	     0,6	
1,75	  0,0196	1,75	  -146,9	1,75	     0,7	
2	  0,0124	2	  -158,8	2	     0,8	
2,25	 0,00877	2,25	  -164,8	2,25	     0,6	
2,5	 0,00925	2,5	  -165,6	2,5	     0,7	
2,75	 0,00823	2,75	    -161	2,75	     0,8	
3	 0,00756	3	  -155,5	3	     0,8	
3,25	 0,00648	3,25	  -146,2	3,25	     0,7	
3,5	 0,00829	3,5	  -140,9	3,5	     0,9	
3,75	  0,0101	3,75	  -130,9	3,75	     0,9	
4	  0,0115	4	  -129,7	4	     0,9	
4,25	  0,0146	4,25	  -128,3	4,25	       1	
4,5	  0,0176	4,5	  -132,8	4,5	       1	
4,75	  0,0211	4,75	  -150,3	4,75	       1	
5	  0,0178	5	  -164,2	5	       1	
5,25	   0,017	5,25	  -150,2	5,25	       1	
5,5	  0,0189	5,5	  -157,6	5,5	       1	
5,75	  0,0181	5,75	    -165	5,75	       1	
6	    0,02	6	  -165,9	6	       1	
6,25	   0,019	6,25	  -172,7	6,25	       1	
6,5	  0,0174	6,5	  -176,3	6,5	       1	
6,75	  0,0164	6,75	  -176,5	6,75	       1	
7	  0,0151	7	  -175,1	7	       1	
7,25	  0,0159	7,25	  -167,9	7,25	       1	
7,5	   0,017	7,5	  -172,9	7,5	       1	
7,75	   0,017	7,75	  -175,8	7,75	       1	
8	  0,0169	8	  -176,1	8	       1	
8,25	  0,0172	8,25	   179,2	8,25	       1	
8,5	  0,0167	8,5	   177,9	8,5	       1	
8,75	  0,0169	8,75	   174,2	8,75	       1	
9	  0,0164	9	   171,8	9	       1	
9,25	  0,0158	9,25	   166,9	9,25	       1	
9,5	  0,0141	9,5	   163,2	9,5	       1	
9,75	  0,0121	9,75	   161,7	9,75	       1	
10	  0,0104	10	   161,4	10	       1	
10,25	 0,00787	10,25	   163,2	10,25	       1	
10,5	 0,00689	10,5	  -154,6	10,5	       1	
10,75	   0,012	10,75	  -153,2	10,75	       1	
11	  0,0135	11	  -168,5	11	       1	
11,25	  0,0115	11,25	  -172,4	11,25	       1	
11,5	 0,00954	11,5	  -165,2	11,5	       1	
11,75	  0,0113	11,75	  -145,5	11,75	       1	
12	   0,016	12	  -148,4	12	       1	
12,25	  0,0175	12,25	    -160	12,25	       1	
12,5	   0,017	12,5	  -166,4	12,5	       1	
12,75	  0,0168	12,75	  -169,7	12,75	       1	
13	  0,0166	13	  -172,3	13	       1	
13,25	  0,0158	13,25	  -176,9	13,25	       1	
13,5	  0,0142	13,5	  -178,7	13,5	       1	
13,75	  0,0127	13,75	  -178,2	13,75	       1	
14	  0,0108	14	  -173,4	14	       1	
14,25	  0,0095	14,25	  -158,5	14,25	       1	
14,5	  0,0123	14,5	  -141,8	14,5	       1	
14,75	  0,0145	14,75	  -139,8	14,75	       1	
15	  0,0176	15	  -135,6	15	       1	
15,25	  0,0215	15,25	  -141,1	15,25	       1	
15,5	  0,0241	15,5	  -149,8	15,5	       1	
15,75	  0,0242	15,75	  -158,2	15,75	       1	
16	  0,0241	16	  -164,1	16	       1	
16,25	  0,0235	16,25	  -166,1	16,25	       1	
16,5	  0,0232	16,5	  -168,4	16,5	       1	
16,75	  0,0227	16,75	  -169,5	16,75	       1	
17	  0,0225	17	  -171,3	17	       1	
17,25	  0,0225	17,25	  -171,6	17,25	       1	
17,5	  0,0225	17,5	  -172,5	17,5	       1	
17,75	  0,0227	17,75	  -172,7	17,75	       1	
18	  0,0231	18	  -172,6	18	       1	
18,25	  0,0232	18,25	  -173,8	18,25	       1	
18,5	  0,0238	18,5	  -174,4	18,5	       1	
18,75	  0,0241	18,75	  -174,7	18,75	       1	
19	  0,0249	19	  -176,9	19	       1	
19,25	  0,0254	19,25	  -179,2	19,25	       1	
19,5	  0,0258	19,5	   177,3	19,5	       1	
19,75	  0,0255	19,75	     173	19,75	       1	
20	  0,0248	20	   169,5	20	       1	
20,25	  0,0233	20,25	   166,1	20,25	       1	
20,5	  0,0214	20,5	   165,5	20,5	       1	
20,75	  0,0202	20,75	   165,5	20,75	       1	
21	  0,0188	21	     165	21	       1	
21,25	  0,0174	21,25	   164,3	21,25	       1	
21,5	  0,0155	21,5	   166,4	21,5	       1	
21,75	  0,0143	21,75	   167,3	21,75	       1	
22	  0,0092	22	  -152,5	22	       1	
