Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	    1,79	0	     180	0	     0,6	
0,25	    2,77	0,25	  -159,8	0,25	     0,2	
0,5	    3,12	0,5	  -41,23	0,5	     0,1	
0,75	    3,99	0,75	  -149,5	0,75	     0,1	
1	    2,84	1	  -121,1	1	     0,1	
1,25	    1,29	1,25	  -150,4	1,25	       0	
1,5	    7,14	1,5	   63,95	1,5	     0,2	
1,75	    2,28	1,75	  -76,92	1,75	     0,2	
2	    3,27	2	   80,57	2	     0,1	
2,25	    4,13	2,25	  -99,34	2,25	     0,2	
2,5	    1,55	2,5	   61,95	2,5	     0,3	
2,75	    2,86	2,75	  -103,7	2,75	     0,3	
3	    3,41	3	   98,65	3	     0,4	
3,25	    1,26	3,25	  -97,69	3,25	     0,1	
3,5	    1,76	3,5	   95,61	3,5	     0,1	
3,75	    1,77	3,75	  -54,69	3,75	     0,2	
4	     1,5	4	   103,2	4	     0,2	
4,25	     1,3	4,25	  -56,46	4,25	     0,1	
4,5	    1,51	4,5	  -178,1	4,5	     0,3	
4,75	   0,953	4,75	  -38,18	4,75	     0,2	
5	   0,654	5	   136,5	5	       0	
5,25	    1,69	5,25	   37,62	5,25	     0,3	
5,5	    1,53	5,5	   167,4	5,5	     0,4	
5,75	   0,834	5,75	  -5,094	5,75	     0,1	
6	    1,64	6	  -116,4	6	     0,3	
6,25	    1,48	6,25	  -2,401	6,25	     0,3	
6,5	   0,908	6,5	   153,8	6,5	     0,1	
6,75	     1,3	6,75	   83,05	6,75	     0,2	
7	    1,39	7	  -174,5	7	     0,4	
7,25	   0,534	7,25	  -35,47	7,25	     0,1	
7,5	   0,949	7,5	  -46,28	7,5	     0,3	
7,75	   0,748	7,75	   18,26	7,75	     0,4	
8	   0,328	8	   128,3	8	     0,1	
8,25	    1,06	8,25	   149,7	8,25	     0,3	
8,5	   0,767	8,5	  -88,25	8,5	     0,3	
8,75	    0,29	8,75	    52,4	8,75	     0,1	
9	   0,776	9	  -28,89	9	     0,2	
9,25	   0,872	9,25	   97,02	9,25	     0,3	
9,5	   0,789	9,5	  -139,9	9,5	     0,3	
