Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	  0,0881	0	     180	0	       1	
0,25	  0,0262	0,25	  -147,8	0,25	     0,5	
0,5	  0,0114	0,5	   176,8	0,5	     0,3	
0,75	 0,00186	0,75	   -79,4	0,75	     0,1	
1	 0,00345	1	  -2,358	1	     0,3	
1,25	 0,00921	1,25	  -9,587	1,25	     0,9	
1,5	  0,0262	1,5	  -24,94	1,5	       1	
1,75	  0,0536	1,75	  -122,8	1,75	       1	
2	  0,0192	2	   171,2	2	       1	
2,25	  0,0093	2,25	   176,2	2,25	       1	
2,5	 0,00542	2,5	  -156,7	2,5	     0,9	
2,75	 0,00568	2,75	  -129,8	2,75	     0,9	
3	 0,00658	3	    -115	3	       1	
3,25	 0,00845	3,25	  -99,92	3,25	       1	
3,5	  0,0121	3,5	  -93,39	3,5	       1	
3,75	  0,0192	3,75	  -101,1	3,75	       1	
4	  0,0247	4	  -134,1	4	       1	
4,25	  0,0211	4,25	  -113,9	4,25	       1	
4,5	  0,0307	4,5	    -129	4,5	       1	
4,75	  0,0301	4,75	  -162,6	4,75	       1	
5	  0,0212	5	  -161,9	5	       1	
5,25	  0,0211	5,25	  -163,6	5,25	       1	
5,5	  0,0208	5,5	    -164	5,5	       1	
5,75	  0,0207	5,75	  -165,7	5,75	       1	
6	  0,0208	6	  -168,9	6	       1	
6,25	  0,0205	6,25	    -165	6,25	       1	
6,5	  0,0227	6,5	  -169,5	6,5	       1	
6,75	  0,0234	6,75	    -175	6,75	       1	
7	  0,0226	7	  -179,6	7	       1	
7,25	  0,0211	7,25	  -179,8	7,25	       1	
7,5	   0,022	7,5	  -174,9	7,5	       1	
7,75	  0,0252	7,75	  -179,2	7,75	       1	
8	  0,0284	8	   176,2	8	       1	
8,25	  0,0281	8,25	   166,1	8,25	       1	
8,5	  0,0274	8,5	   159,8	8,5	       1	
8,75	  0,0263	8,75	   154,4	8,75	       1	
9	  0,0248	9	     149	9	       1	
9,25	  0,0231	9,25	   146,4	9,25	       1	
9,5	  0,0228	9,5	     144	9,5	       1	
9,75	  0,0213	9,75	   137,6	9,75	       1	
10	  0,0175	10	   135,5	10	       1	
10,25	  0,0167	10,25	   152,9	10,25	       1	
10,5	  0,0205	10,5	   148,8	10,5	       1	
10,75	  0,0207	10,75	   142,6	10,75	       1	
11	  0,0204	11	     139	11	       1	
11,25	    0,02	11,25	   135,4	11,25	       1	
11,5	  0,0192	11,5	   131,6	11,5	       1	
11,75	  0,0183	11,75	   130,2	11,75	       1	
12	  0,0178	12	   128,1	12	       1	
12,25	  0,0169	12,25	   124,5	12,25	       1	
12,5	  0,0154	12,5	   125,5	12,5	       1	
12,75	  0,0151	12,75	   126,2	12,75	       1	
13	  0,0145	13	   124,9	13	       1	
13,25	  0,0141	13,25	   125,5	13,25	       1	
13,5	  0,0139	13,5	   125,2	13,5	       1	
13,75	  0,0135	13,75	   122,4	13,75	       1	
14	  0,0127	14	   119,3	14	       1	
14,25	  0,0111	14,25	   116,4	14,25	       1	
14,5	 0,00922	14,5	   116,5	14,5	     0,9	
14,75	 0,00718	14,75	   128,5	14,75	     0,9	
15	  0,0072	15	   148,4	15	     0,9	
15,25	 0,00889	15,25	   161,2	15,25	       1	
15,5	  0,0113	15,5	   162,2	15,5	       1	
15,75	  0,0126	15,75	     160	15,75	       1	
16	  0,0138	16	   158,2	16	       1	
16,25	  0,0143	16,25	   154,2	16,25	       1	
16,5	  0,0144	16,5	   152,4	16,5	       1	
16,75	  0,0143	16,75	   149,3	16,75	       1	
17	  0,0134	17	   150,8	17	       1	
17,25	  0,0131	17,25	   155,3	17,25	       1	
17,5	  0,0134	17,5	   161,8	17,5	       1	
17,75	  0,0145	17,75	   169,2	17,75	       1	
18	  0,0172	18	   176,3	18	       1	
18,25	  0,0218	18,25	   176,1	18,25	       1	
18,5	   0,026	18,5	   171,2	18,5	       1	
18,75	  0,0293	18,75	   166,2	18,75	       1	
19	  0,0333	19	   161,6	19	       1	
19,25	  0,0375	19,25	   154,3	19,25	       1	
19,5	  0,0403	19,5	   145,8	19,5	       1	
19,75	  0,0419	19,75	   137,7	19,75	       1	
20	  0,0423	20	   130,5	20	       1	
20,25	  0,0422	20,25	   124,6	20,25	       1	
20,5	  0,0425	20,5	   120,1	20,5	       1	
20,75	  0,0435	20,75	   114,9	20,75	       1	
21	  0,0441	21	   109,4	21	       1	
21,25	  0,0449	21,25	   103,3	21,25	       1	
21,5	  0,0446	21,5	   96,15	21,5	       1	
21,75	  0,0433	21,75	   89,72	21,75	       1	
