Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	   0,117	0	       0	0	     0,8	
0,25	 0,00955	0,25	     118	0,25	     0,5	
0,5	 0,00238	0,5	  -115,3	0,5	     0,2	
0,75	 0,00158	0,75	  -114,1	0,75	     0,2	
1	 0,00214	1	  -138,3	1	     0,7	
1,25	 0,00328	1,25	  -164,4	1,25	       1	
1,5	 0,00693	1,5	   175,2	1,5	       1	
1,75	   0,015	1,75	   105,4	1,75	       1	
2	 0,00427	2	  -19,86	2	       1	
2,25	 0,00108	2,25	   35,42	2,25	     0,9	
2,5	 0,00129	2,5	   111,4	2,5	       1	
2,75	 0,00215	2,75	   106,8	2,75	       1	
3	 0,00281	3	     107	3	       1	
3,25	 0,00399	3,25	   101,9	3,25	       1	
3,5	  0,0047	3,5	   92,27	3,5	       1	
3,75	 0,00644	3,75	   90,01	3,75	       1	
4	 0,00808	4	   68,87	4	       1	
4,25	  0,0102	4,25	   73,44	4,25	       1	
4,5	  0,0151	4,5	   53,18	4,5	       1	
4,75	  0,0174	4,75	   16,65	4,75	       1	
5	   0,012	5	   4,154	5	       1	
5,25	   0,013	5,25	   -3,99	5,25	       1	
5,5	   0,013	5,5	  -12,24	5,5	       1	
5,75	  0,0127	5,75	  -21,42	5,75	       1	
6	  0,0137	6	  -27,01	6	       1	
6,25	  0,0146	6,25	  -38,55	6,25	       1	
6,5	  0,0148	6,5	  -47,52	6,5	       1	
6,75	  0,0147	6,75	  -56,71	6,75	       1	
7	  0,0154	7	  -64,13	7	       1	
7,25	  0,0166	7,25	  -72,85	7,25	       1	
7,5	  0,0168	7,5	  -87,63	7,5	       1	
7,75	   0,017	7,75	  -98,89	7,75	       1	
8	  0,0163	8	  -117,6	8	       1	
8,25	  0,0113	8,25	  -122,5	8,25	       1	
8,5	  0,0124	8,5	    -118	8,5	       1	
8,75	  0,0125	8,75	  -127,2	8,75	       1	
9	  0,0129	9	  -129,9	9	       1	
9,25	  0,0142	9,25	  -142,2	9,25	       1	
9,5	  0,0133	9,5	    -155	9,5	       1	
9,75	  0,0127	9,75	  -166,4	9,75	       1	
10	  0,0113	10	  -176,6	10	       1	
10,25	 0,00985	10,25	   175,9	10,25	       1	
10,5	 0,00906	10,5	   172,4	10,5	       1	
10,75	 0,00779	10,75	   165,9	10,75	       1	
11	 0,00749	11	   168,7	11	       1	
11,25	 0,00831	11,25	   165,5	11,25	       1	
11,5	 0,00813	11,5	   151,9	11,5	       1	
11,75	 0,00738	11,75	     143	11,75	       1	
12	 0,00633	12	   136,5	12	       1	
12,25	 0,00597	12,25	   133,5	12,25	       1	
12,5	 0,00599	12,5	   128,1	12,5	       1	
