Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	   0,216	0	       0	0	       1	
0,25	  0,0273	0,25	   89,99	0,25	     0,2	
0,5	  0,0116	0,5	   85,87	0,5	     0,3	
0,75	  0,0084	0,75	    62,9	0,75	     0,5	
1	  0,0049	1	   55,64	1	     0,4	
1,25	  0,0036	1,25	   13,22	1,25	     0,4	
1,5	 0,00426	1,5	  -19,05	1,5	     0,7	
1,75	 0,00928	1,75	  -41,67	1,75	     0,9	
2	  0,0312	2	  -68,87	2	       1	
2,25	  0,0265	2,25	   162,2	2,25	       1	
2,5	  0,0147	2,5	   162,4	2,5	       1	
2,75	  0,0125	2,75	   162,9	2,75	       1	
3	  0,0116	3	   160,8	3	       1	
3,25	  0,0125	3,25	   161,3	3,25	       1	
3,5	  0,0135	3,5	   158,7	3,5	       1	
3,75	   0,016	3,75	     154	3,75	       1	
4	  0,0146	4	   125,4	4	       1	
4,25	  0,0188	4,25	   134,3	4,25	       1	
4,5	  0,0224	4,5	   112,9	4,5	       1	
4,75	  0,0176	4,75	   74,87	4,75	       1	
5	 0,00958	5	   86,31	5	       1	
5,25	  0,0103	5,25	   106,5	5,25	       1	
5,5	  0,0151	5,5	   106,1	5,5	       1	
5,75	  0,0173	5,75	   85,03	5,75	       1	
6	  0,0173	6	   77,12	6	       1	
6,25	  0,0176	6,25	   52,36	6,25	       1	
6,5	   0,012	6,5	   41,85	6,5	       1	
6,75	  0,0118	6,75	   45,23	6,75	       1	
7	  0,0128	7	      37	7	       1	
7,25	  0,0144	7,25	   21,04	7,25	       1	
7,5	  0,0182	7,5	  -11,24	7,5	       1	
7,75	  0,0213	7,75	  -75,61	7,75	       1	
8	  0,0249	8	  -146,7	8	       1	
8,25	  0,0258	8,25	     115	8,25	       1	
8,5	  0,0121	8,5	   44,56	8,5	     0,9	
8,75	  0,0068	8,75	   89,28	8,75	     0,9	
9	  0,0116	9	   70,54	9	       1	
9,25	  0,0124	9,25	   24,76	9,25	       1	
9,5	 0,00626	9,5	  -28,94	9,5	     0,8	
9,75	 0,00151	9,75	     155	9,75	     0,2	
10	 0,00442	10	   108,8	10	     0,8	
10,25	  0,0063	10,25	   93,81	10,25	     0,9	
10,5	 0,00844	10,5	   92,18	10,5	       1	
10,75	  0,0114	10,75	   71,45	10,75	       1	
11	  0,0115	11	   57,95	11	       1	
11,25	  0,0121	11,25	   47,75	11,25	       1	
11,5	  0,0129	11,5	   34,73	11,5	       1	
11,75	  0,0125	11,75	   19,23	11,75	       1	
12	  0,0104	12	   7,898	12	       1	
12,25	 0,00944	12,25	   3,529	12,25	       1	
12,5	 0,00867	12,5	   1,246	12,5	       1	
12,75	 0,00789	12,75	  -2,536	12,75	       1	
13	  0,0073	13	  -5,307	13	       1	
13,25	 0,00662	13,25	  -6,061	13,25	       1	
13,5	 0,00612	13,5	  -3,897	13,5	       1	
13,75	  0,0064	13,75	  -1,115	13,75	       1	
14	  0,0071	14	  -1,943	14	       1	
14,25	 0,00766	14,25	  -7,801	14,25	       1	
14,5	 0,00785	14,5	  -14,68	14,5	       1	
14,75	 0,00773	14,75	  -23,05	14,75	       1	
15	 0,00726	15	  -32,52	15	       1	
15,25	 0,00634	15,25	  -38,92	15,25	       1	
15,5	 0,00584	15,5	  -41,57	15,5	       1	
15,75	 0,00524	15,75	   -42,1	15,75	       1	
16	 0,00513	16	   -43,9	16	       1	
16,25	 0,00459	16,25	  -44,26	16,25	       1	
16,5	 0,00442	16,5	  -43,62	16,5	       1	
16,75	 0,00407	16,75	  -43,76	16,75	       1	
17	 0,00402	17	  -39,67	17	       1	
17,25	 0,00435	17,25	  -41,38	17,25	       1	
17,5	 0,00423	17,5	  -45,36	17,5	       1	
17,75	 0,00394	17,75	  -48,09	17,75	       1	
18	 0,00352	18	  -47,09	18	       1	
18,25	 0,00355	18,25	  -37,45	18,25	       1	
18,5	 0,00406	18,5	  -31,65	18,5	       1	
18,75	 0,00529	18,75	  -32,93	18,75	       1	
19	 0,00609	19	  -43,63	19	       1	
19,25	  0,0066	19,25	   -56,6	19,25	       1	
19,5	 0,00681	19,5	  -68,68	19,5	       1	
19,75	 0,00669	19,75	  -79,57	19,75	       1	
20	 0,00646	20	  -91,43	20	       1	
20,25	 0,00611	20,25	  -102,6	20,25	       1	
20,5	  0,0059	20,5	  -111,4	20,5	       1	
20,75	   0,006	20,75	  -119,9	20,75	     0,9	
21	  0,0062	21	  -134,1	21	     0,9	
21,25	  0,0065	21,25	    -150	21,25	     0,9	
21,5	 0,00673	21,5	  -167,4	21,5	     0,9	
21,75	 0,00718	21,75	   172,8	21,75	     0,8	
22	 0,00753	22	   148,8	22	     0,8	
22,25	 0,00771	22,25	   125,4	22,25	     0,8	
22,5	 0,00753	22,5	   102,8	22,5	     0,8	
22,75	 0,00737	22,75	   83,01	22,75	     0,8	
23	 0,00618	23	   65,86	23	     0,6	
23,25	 0,00696	23,25	   58,57	23,25	     0,9	
23,5	 0,00653	23,5	   40,34	23,5	     0,9	
23,75	 0,00592	23,75	   30,75	23,75	     0,9	
24	 0,00558	24	   29,26	24	     0,9	
24,25	 0,00582	24,25	    28,9	24,25	     0,9	
24,5	 0,00609	24,5	    20,5	24,5	     0,9	
24,75	 0,00593	24,75	   18,52	24,75	     0,9	
25	 0,00645	25	   17,51	25	     0,9	
25,25	 0,00727	25,25	   13,32	25,25	     0,9	
25,5	 0,00803	25,5	   7,858	25,5	     0,9	
25,75	 0,00826	25,75	  -1,433	25,75	     0,9	
26	 0,00815	26	  -6,297	26	       1	
26,25	 0,00843	26,25	  -7,952	26,25	       1	
26,5	 0,00908	26,5	  -11,34	26,5	     0,9	
26,75	  0,0101	26,75	  -17,24	26,75	     0,9	
