Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	  0,0522	0	       0	0	       1	
0,25	 0,00048	0,25	  -161,8	0,25	       0	
0,5	 0,00104	0,5	   115,2	0,5	     0,1	
0,75	0,000728	0,75	   59,62	0,75	       0	
1	0,000515	1	  -177,6	1	       0	
1,25	 0,00205	1,25	   75,68	1,25	     0,2	
1,5	 0,00171	1,5	   96,75	1,5	     0,2	
1,75	0,000651	1,75	     152	1,75	       0	
2	 0,00229	2	   79,19	2	     0,2	
2,25	 0,00129	2,25	     118	2,25	     0,1	
2,5	 0,00167	2,5	   99,48	2,5	     0,2	
2,75	 0,00277	2,75	   67,69	2,75	     0,3	
3	  0,0028	3	    93,5	3	     0,3	
3,25	  0,0032	3,25	      94	3,25	     0,3	
3,5	 0,00493	3,5	   86,87	3,5	     0,5	
3,75	 0,00549	3,75	   90,31	3,75	     0,4	
4	 0,00736	4	   92,47	4	     0,4	
4,25	  0,0132	4,25	   92,06	4,25	     0,5	
4,5	  0,0402	4,5	    90,2	4,5	     0,5	
4,75	  0,0454	4,75	  -89,21	4,75	     0,6	
5	  0,0153	5	  -89,84	5	     0,6	
5,25	 0,00971	5,25	  -87,92	5,25	     0,6	
5,5	 0,00716	5,5	  -90,52	5,5	     0,6	
5,75	 0,00618	5,75	  -93,54	5,75	     0,7	
6	 0,00463	6	  -95,68	6	     0,8	
6,25	 0,00415	6,25	  -97,49	6,25	     0,7	
6,5	 0,00417	6,5	  -75,45	6,5	     0,8	
6,75	 0,00336	6,75	  -91,77	6,75	     0,6	
7	 0,00278	7	   -82,5	7	     0,7	
7,25	 0,00287	7,25	  -92,86	7,25	     0,7	
7,5	 0,00232	7,5	  -91,09	7,5	     0,8	
7,75	 0,00281	7,75	  -97,34	7,75	     0,9	
8	 0,00222	8	  -87,47	8	     0,9	
8,25	 0,00221	8,25	  -98,17	8,25	     0,8	
8,5	 0,00271	8,5	  -73,55	8,5	     0,8	
8,75	 0,00229	8,75	  -70,67	8,75	     0,8	
9	 0,00164	9	  -74,57	9	     0,3	
9,25	  0,0152	9,25	   30,15	9,25	       0	
9,5	 0,00299	9,5	  -103,2	9,5	     0,4	
9,75	 0,00261	9,75	  -94,58	9,75	     0,4	
10	 0,00181	10	  -88,27	10	     0,4	
10,25	 0,00228	10,25	  -94,51	10,25	     0,5	
10,5	  0,0022	10,5	  -82,77	10,5	     0,5	
10,75	 0,00203	10,75	  -95,62	10,75	     0,5	
11	  0,0021	11	  -81,85	11	     0,5	
11,25	 0,00239	11,25	  -102,1	11,25	     0,5	
11,5	 0,00223	11,5	  -77,77	11,5	     0,2	
11,75	 0,00306	11,75	  -89,43	11,75	     0,5	
12	 0,00282	12	  -90,86	12	     0,3	
12,25	 0,00284	12,25	  -86,66	12,25	     0,3	
12,5	 0,00268	12,5	   -80,2	12,5	     0,3	
12,75	 0,00354	12,75	   -84,6	12,75	     0,3	
13	 0,00477	13	   -76,1	13	     0,3	
13,25	 0,00559	13,25	  -73,74	13,25	     0,2	
13,5	 0,00928	13,5	  -66,69	13,5	     0,2	
