Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	   0,101	0	     180	0	     0,9	
0,25	  0,0209	0,25	  -96,68	0,25	     0,7	
0,5	 0,00715	0,5	    -135	0,5	     0,3	
0,75	 0,00193	0,75	   27,04	0,75	     0,3	
1	 0,00587	1	  -53,31	1	     0,7	
1,25	 0,00426	1,25	  -38,27	1,25	     0,9	
1,5	  0,0069	1,5	   -46,5	1,5	     0,9	
1,75	  0,0147	1,75	  -53,39	1,75	       1	
2	  0,0474	2	  -86,39	2	       1	
2,25	  0,0169	2,25	   152,9	2,25	     0,8	
2,5	 0,00915	2,5	   165,5	2,5	       1	
2,75	 0,00636	2,75	   174,7	2,75	       1	
3	   0,005	3	  -169,9	3	       1	
3,25	 0,00464	3,25	  -152,6	3,25	       1	
3,5	 0,00477	3,5	  -133,3	3,5	       1	
3,75	 0,00647	3,75	  -120,8	3,75	       1	
4	 0,00693	4	  -120,4	4	       1	
4,25	  0,0108	4,25	  -114,9	4,25	       1	
4,5	  0,0163	4,5	  -127,9	4,5	       1	
4,75	  0,0171	4,75	  -165,7	4,75	       1	
5	   0,011	5	  -157,4	5	       1	
5,25	  0,0113	5,25	  -155,7	5,25	       1	
5,5	  0,0124	5,5	    -148	5,5	       1	
5,75	  0,0151	5,75	    -156	5,75	       1	
6	  0,0159	6	  -161,8	6	       1	
6,25	  0,0162	6,25	  -175,1	6,25	       1	
6,5	  0,0141	6,5	  -179,5	6,5	       1	
6,75	  0,0126	6,75	  -179,7	6,75	       1	
7	  0,0123	7	  -178,5	7	       1	
7,25	  0,0115	7,25	  -172,1	7,25	       1	
7,5	  0,0129	7,5	    -157	7,5	       1	
7,75	  0,0225	7,75	  -166,4	7,75	       1	
8	  0,0231	8	   170,6	8	       1	
8,25	  0,0219	8,25	   157,1	8,25	       1	
8,5	  0,0193	8,5	   147,1	8,5	       1	
8,75	  0,0183	8,75	   138,5	8,75	       1	
9	  0,0156	9	   130,4	9	       1	
